time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
9,30,-4.147646,0.9293476,-4.461088,0.08547126,0,-3.529182,0.9005512,-4.318722,0.03169642,4.273563,0,8
25,30,-4.146539,0.9293503,-4.461933,0.09301562,0,-3.529058,0.9005292,-4.318645,0.009875447,0.3772181,0,8
37,30,-4.146269,0.9288392,-4.463039,0.08962154,0,-3.528793,0.9003231,-4.318758,0.02541368,-0.1697037,0,8
51,30,-4.145928,0.9285785,-4.464069,0.08625393,0,-3.528187,0.8999232,-4.319194,0.0654441,-0.1683805,0,8
66,30,-4.145307,0.9294519,-4.463877,0.07816784,0,-3.527114,0.8995451,-4.31982,0.09324221,-0.4043047,0,8
79,30,-4.14489,0.930292,-4.462702,0.1079831,0,-3.526087,0.899547,-4.320154,0.07760093,1.490761,0,8
94,30,-4.144825,0.9302791,-4.464464,0.126851,0,-3.525433,0.8997435,-4.320344,0.05092854,0.9433985,0,8
106,30,-4.144487,0.9305582,-4.464821,0.04116727,0,-3.524985,0.899821,-4.320544,0.03618706,-4.284188,0,8
119,30,-4.143849,0.9310021,-4.465175,0.0602521,0,-3.523914,0.8997355,-4.321017,0.08278603,0.9542419,0,8
138,30,-4.143026,0.9321186,-4.4652,0.1008398,0,-3.522128,0.8994914,-4.322036,0.1505462,2.029386,0,8
147,30,-4.142641,0.9328091,-4.465364,0.05846525,0,-3.52157,0.899385,-4.32244,0.05045901,-2.118729,0,8
164,30,-4.142205,0.9336891,-4.465215,0.07016495,0,-3.520177,0.899168,-4.323421,0.1213261,0.5849851,0,8
177,30,-4.141186,0.9349563,-4.46531,0.1176303,0,-3.519366,0.8991288,-4.324006,0.07230936,2.373266,0,8
191,30,-4.139687,0.9369037,-4.465311,0.1759506,0,-3.518424,0.8991764,-4.324611,0.08025509,2.916018,0,8
204,30,-4.13763,0.9397159,-4.465106,0.2525133,0,-3.517569,0.8995317,-4.324921,0.07059944,3.828135,0,8
218,30,-4.135185,0.9432074,-4.464695,0.305985,0,-3.516957,0.9000853,-4.32506,0.05981902,2.673584,0,8
233,30,-4.131311,0.947553,-4.464724,0.4193363,0,-3.51716,0.9006054,-4.324905,0.04173403,5.667567,0,8
248,30,-4.125138,0.9530609,-4.465934,0.5983973,0,-3.51766,0.900991,-4.324658,0.04855555,8.953046,0,8
260,30,-4.118762,0.9582794,-4.467648,0.6079587,0,-3.518051,0.9011176,-4.324527,0.03116446,0.478071,0,8
272,30,-4.111667,0.9636257,-4.469942,0.6567647,0,-3.518151,0.9014781,-4.324599,0.0272742,2.440301,0,8
289,30,-4.103465,0.9693416,-4.473397,0.751516,0,-3.51822,0.9023749,-4.324869,0.06670752,4.737568,0,8
304,30,-4.095765,0.9750331,-4.477095,0.7478961,0,-3.518574,0.903523,-4.325174,0.09032948,-0.1809955,0,8
316,30,-4.088552,0.9806713,-4.480529,0.7061674,0,-3.518986,0.9043574,-4.32537,0.06870235,-2.086437,0,8
330,30,-4.080754,0.9867734,-4.484603,0.7602435,0,-3.519662,0.905339,-4.325516,0.08524843,2.703804,0,8
344,30,-4.072976,0.9928453,-4.488792,0.7725817,0,-3.520585,0.9063182,-4.325684,0.09770334,0.6169111,0,8
358,30,-4.064308,0.9990801,-4.494062,0.853354,0,-3.52247,0.9079242,-4.326019,0.1791174,4.038614,0,8
372,30,-4.055217,1.005177,-4.499518,0.8788245,0,-3.523991,0.908833,-4.326209,0.1280707,1.273528,0,8
386,30,-4.045735,1.0112,-4.505283,0.9075506,0,-3.525617,0.9097414,-4.326435,0.1348241,1.436302,0,8
399,30,-4.035429,1.017456,-4.511619,0.9812449,0,-3.527354,0.9106591,-4.326746,0.1433267,3.684717,0,8
412,30,-4.024184,1.024258,-4.518438,1.060481,0,-3.529095,0.911498,-4.327098,0.1407057,3.961819,0,8
426,30,-4.013365,1.031152,-4.525014,1.029496,0,-3.530909,0.9123439,-4.327518,0.1460297,-1.549244,0,8
441,30,-4.002469,1.037406,-4.532812,1.067229,0,-3.532845,0.9133043,-4.328154,0.1625882,1.886624,0,8
458,30,-3.992484,1.043068,-4.540401,0.9863966,0,-3.534752,0.9142745,-4.329,0.1649613,-4.041615,0,8
471,30,-3.982571,1.048683,-4.547502,0.9412943,0,-3.536429,0.9153209,-4.329823,0.1500856,-2.255115,0,8
484,30,-3.972217,1.05391,-4.555134,1.026882,0,-3.537695,0.9168128,-4.330882,0.1645638,4.279405,0,8
496,30,-3.961848,1.059001,-4.562768,0.9995932,0,-3.538533,0.9185354,-4.331706,0.1505497,-1.364461,0,8
511,30,-3.951761,1.064141,-4.570249,0.9680718,0,-3.539056,0.9207575,-4.332374,0.1696843,-1.576072,0,8
526,30,-3.942121,1.068855,-4.57787,0.9394884,0,-3.53928,0.9233794,-4.332882,0.191304,-1.42917,0,8
537,30,-3.932108,1.073781,-4.585215,0.9723146,0,-3.53974,0.9257219,-4.333365,0.1772725,1.641312,0,8
551,30,-3.92192,1.078267,-4.592705,0.9553584,0,-3.539928,0.928377,-4.333737,0.1913759,-0.8478075,0,8
568,30,-3.912061,1.08211,-4.600412,0.9423543,0,-3.539627,0.9309078,-4.334116,0.1854864,-0.6502092,0,8
581,30,-3.902822,1.085438,-4.60811,0.8984922,0,-3.539526,0.9330926,-4.334501,0.1599087,-2.193105,0,8
596,30,-3.89467,1.088019,-4.615865,0.8323966,0,-3.539063,0.9351658,-4.334696,0.1538192,-3.304777,0,8
608,30,-3.887395,1.090258,-4.623553,0.7731245,0,-3.538429,0.9369823,-4.334846,0.137893,-2.963609,0,8
622,30,-3.880625,1.092347,-4.630964,0.7369165,0,-3.537695,0.9386033,-4.335004,0.1284194,-1.810396,0,8
634,30,-3.873657,1.094537,-4.638024,0.7361424,0,-3.536887,0.9399766,-4.3352,0.1163329,-0.03870726,0,8
650,30,-3.867071,1.095836,-4.644828,0.6756353,0,-3.53586,0.9407459,-4.335421,0.09204356,-3.025353,0,8
666,30,-3.860716,1.096198,-4.651842,0.6865324,0,-3.534934,0.9410857,-4.335756,0.07552107,0.544852,0,8
678,30,-3.854379,1.096397,-4.658978,0.6887217,0,-3.53418,0.9415644,-4.336111,0.06927498,0.1094669,0,8
690,30,-3.848305,1.096211,-4.666041,0.666681,0,-3.533411,0.9417177,-4.336518,0.06326383,-1.102036,0,8
706,30,-3.84315,1.094985,-4.673175,0.6330239,0,-3.532623,0.9413352,-4.336984,0.07063897,-1.682854,0,8
722,30,-3.838113,1.093624,-4.680504,0.6479065,0,-3.53205,0.9409001,-4.337494,0.06352909,0.7441282,0,8
734,30,-3.832963,1.092524,-4.687634,0.6469055,0,-3.531617,0.9401383,-4.338118,0.07852448,-0.05004704,0,8
747,30,-3.828094,1.091162,-4.694603,0.6011554,0,-3.531148,0.9390997,-4.338919,0.09723087,-2.287507,0,8
763,30,-3.823906,1.088728,-4.701912,0.6386061,0,-3.530358,0.9371459,-4.340283,0.1828422,1.872534,0,8
774,30,-3.819028,1.087077,-4.709208,0.6447033,0,-3.529529,0.9358997,-4.341362,0.1332046,0.3048599,0,8
790,30,-3.814436,1.084656,-4.716403,0.6343866,0,-3.528685,0.9340657,-4.342468,0.1646222,-0.5158335,0,8
802,30,-3.809871,1.082265,-4.72343,0.6276395,0,-3.528424,0.9327593,-4.343052,0.1047542,-0.3373563,0,8
820,30,-3.80611,1.07944,-4.730243,0.5956785,0,-3.528447,0.9316748,-4.343186,0.07864539,-1.598048,0,8
829,30,-3.80211,1.07715,-4.737097,0.603356,0,-3.528197,0.9307172,-4.343537,0.07671584,0.3838748,0,8
846,30,-3.798596,1.074324,-4.743837,0.5703388,0,-3.528147,0.9298161,-4.343537,0.0634781,-1.650861,0,8
858,30,-3.794707,1.071787,-4.750533,0.5885801,0,-3.527891,0.9288754,-4.343711,0.07153656,0.9120643,0,8
