time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
42,26,2.247524,2.104017,-4.35012,9.506368,0,2.073153,1.877493,-4.572084,9.421762,475.3184,0,0
104,26,2.247001,1.00306,-4.351434,10.31666,0,2.073153,0.7774934,-4.572084,10.30768,40.51452,0,0
160,26,2.247716,1.00333,-4.350947,0.04528316,0,2.073153,0.7774934,-4.572084,0,-513.5687,0,0
177,26,2.248352,1.003597,-4.350381,0.01566191,0,2.073152,0.7774931,-4.572084,5.918795E-06,-1.481063,0,0
227,26,2.248552,1.003737,-4.350149,0.03161281,0,2.073152,0.7774934,-4.572084,2.235377E-05,0.7975453,0,0
243,26,2.248506,1.003648,-4.350246,0.002523405,0,2.073153,0.7774931,-4.572084,6.074762E-06,-1.454471,0,0
292,26,2.248391,1.003637,-4.350276,0.009039425,0,2.073153,0.7774934,-4.572084,1.807708E-05,0.325801,0,0
298,26,2.248374,1.003586,-4.350335,0.001916049,0,2.073152,0.7774934,-4.572083,1.27857E-05,-0.3561688,0,0
310,26,2.248277,1.003444,-4.350515,0.01844583,0,2.073152,0.777493,-4.572083,3.183038E-05,0.8264889,0,0
381,26,2.247453,1.003884,-4.350121,0.07294102,0,2.073153,0.7774934,-4.572084,5.493428E-05,2.72476,0,0
394,26,2.247293,1.004062,-4.349919,0.004516761,0,2.073153,0.7774932,-4.572084,1.715681E-06,-3.421213,0,0
447,26,2.247349,1.004686,-4.348953,0.08342843,0,2.073153,0.7774932,-4.572084,0,3.945583,0,0
452,26,2.247358,1.004707,-4.34892,0.0009055723,0,2.073153,0.7774933,-4.572084,1.358158E-06,-4.126143,0,0
481,26,2.247205,1.004879,-4.348615,0.03617157,0,2.073152,0.777493,-4.572083,6.971743E-05,1.7633,0,0
527,26,2.247306,1.004733,-4.34859,0.006383648,0,2.073152,0.7774932,-4.572084,2.003838E-05,-1.489396,0,0
533,26,2.247366,1.004673,-4.348624,0.0021706,0,2.073152,0.7774934,-4.572084,4.23529E-06,-0.2106524,0,0
583,26,2.248032,1.003961,-4.348878,0.07191274,0,2.073152,0.777493,-4.572083,4.582887E-05,3.487107,0,0
589,26,2.248014,1.003821,-4.348974,0.004054545,0,2.073152,0.7774934,-4.572084,1.522308E-05,-3.39291,0,0
640,26,2.245858,0.9996136,-4.353339,0.4717853,0,2.073152,0.7774934,-4.572084,0,23.38654,0,0
644,26,2.245452,0.9988154,-4.354091,0.02787323,0,2.073152,0.7774932,-4.572083,1.301873E-05,-22.1956,0,0
697,26,2.238246,0.9858279,-4.368079,1.466435,0,2.073153,0.7774935,-4.572084,5.140806E-05,71.9281,0,0
701,26,2.236799,0.9837259,-4.369956,0.07337985,0,2.073152,0.7774932,-4.572083,1.657088E-05,-69.65277,0,0
752,26,2.22385,0.9541059,-4.39889,3.673724,0,2.073152,0.7774931,-4.572084,4.625854E-05,180.0172,0,0
757,26,2.221802,0.9502696,-4.402014,0.1225949,0,2.073153,0.7774931,-4.572084,5.458651E-06,-177.5564,0,0
808,26,2.20812,0.9246366,-4.421942,2.947695,0,2.073152,0.7774934,-4.572084,2.820909E-05,141.255,0,0
813,26,2.205774,0.9214541,-4.42384,0.09992172,0,2.073152,0.7774931,-4.572084,5.432011E-06,-142.3886,0,0
864,26,2.19037,0.8993881,-4.436031,2.535597,0,2.073153,0.7774932,-4.572084,2.287775E-05,121.7838,0,0
881,26,2.187429,0.893922,-4.436565,0.1110982,0,2.073153,0.7774932,-4.572084,0,-121.2249,0,0
933,26,2.178363,0.8773353,-4.434969,1.322417,0,2.073153,0.7774932,-4.572084,0,60.56595,0,0
938,26,2.177605,0.8756453,-4.434571,0.04379967,0,2.073152,0.7774931,-4.572084,6.162512E-06,-63.93087,0,0
990,26,2.164724,0.8567252,-4.432167,1.895548,0,2.073153,0.7774933,-4.572084,2.454583E-05,92.58743,0,0
1007,26,2.160321,0.8519414,-4.431112,0.117739,0,2.073152,0.7774932,-4.572083,1.210217E-05,-88.89046,0,0
1057,26,2.142955,0.8440996,-4.422084,1.484928,0,2.073153,0.7774934,-4.572084,4.822776E-05,68.35947,0,0
1062,26,2.140616,0.8435173,-4.420886,0.06405276,0,2.073153,0.7774935,-4.572084,2.836939E-06,-71.04379,0,0
1116,26,2.069366,0.8958678,-4.363384,7.574849,0,2.073153,0.7774933,-4.572084,1.284251E-05,375.5398,0,0
1152,26,2.043795,0.8883584,-4.351239,0.5227779,0,2.073152,0.7774932,-4.572084,4.758081E-06,-352.6036,0,0
1160,26,2.028188,0.875388,-4.338435,0.8711642,0,2.073153,0.7774932,-4.572084,8.92251E-06,17.41932,0,0
1212,26,2.06837,0.8892372,-4.342554,3.010515,0,2.073152,0.7774931,-4.572084,1.879301E-05,106.9675,0,0
1217,26,2.069543,0.886423,-4.342589,0.06995736,0,2.073152,0.7774931,-4.572084,0,-147.0279,0,0
1269,26,2.100858,0.8951619,-4.340979,2.892586,0,2.073153,0.7774932,-4.572084,2.368707E-05,141.1314,0,0
1285,26,2.109048,0.8973575,-4.340223,0.1525052,0,2.073153,0.7774932,-4.572084,0,-137.0041,0,0
1338,26,2.138056,0.9056976,-4.336536,2.140472,0,2.073153,0.7774931,-4.572084,8.391652E-06,99.39834,0,0
1342,26,2.140069,0.9049833,-4.335829,0.0517595,0,2.073152,0.7774934,-4.572084,7.753854E-06,-104.4356,0,0
1354,26,2.139701,0.8992805,-4.333949,0.4961964,0,2.073152,0.7774932,-4.572084,1.474864E-05,22.22184,0,0
