time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
42,6,2.242013,2.223527,-4.35625,3.39953,0,2.469244,2.158266,-4.33493,3.207046,169.9765,0,0
215,6,2.241154,1.123131,-4.355213,3.301191,0,2.468867,1.058194,-4.335006,3.300217,-4.91699,0,0
391,6,2.240382,1.123528,-4.352541,0.1404595,0,2.469475,1.057835,-4.335681,0.04887363,-158.0366,0,0
489,6,2.240705,1.124995,-4.348075,0.04853123,0,2.469477,1.058766,-4.335776,0.009645875,-4.596415,0,0
629,6,2.239878,1.129628,-4.34191,0.05589498,0,2.469969,1.059468,-4.336133,0.006690245,0.3681874,0,0
684,6,2.238439,1.130881,-4.340074,0.04736701,0,2.46982,1.058867,-4.337779,0.03144095,-0.4263986,0,0
752,6,2.237098,1.130937,-4.3404,0.02019639,0,2.469673,1.058411,-4.338627,0.0142446,-1.358531,0,0
823,6,2.233981,1.129279,-4.339998,0.05047419,0,2.467972,1.059313,-4.337604,0.03096733,1.51389,0,0
892,6,2.233496,1.128908,-4.337488,0.03743259,0,2.46628,1.060039,-4.336998,0.02809702,-0.6520801,0,0
962,6,2.231988,1.126583,-4.339976,0.053449,0,2.465014,1.060069,-4.337443,0.01926091,0.8008206,0,0
1019,6,2.232758,1.124763,-4.338666,0.04140963,0,2.463883,1.059541,-4.337355,0.02186115,-0.6019688,0,0
1088,6,2.234824,1.123823,-4.33603,0.05089789,0,2.46441,1.059834,-4.335584,0.02737385,0.4744133,0,0
1155,6,2.236588,1.123327,-4.335089,0.03026523,0,2.465219,1.062329,-4.332693,0.05738066,-1.031633,0,0
1211,6,2.237362,1.124585,-4.334218,0.03074824,0,2.466038,1.06481,-4.331175,0.05416214,0.02415031,0,0
1283,6,2.238285,1.126623,-4.333438,0.03360656,0,2.466379,1.066495,-4.330377,0.02689367,0.1429161,0,0
1337,6,2.239575,1.127393,-4.333714,0.0277713,0,2.466208,1.068404,-4.328902,0.04395597,-0.2917632,0,0
1392,6,2.24252,1.127313,-4.335592,0.06274287,0,2.465872,1.06996,-4.32681,0.04720441,1.748579,0,0
1450,6,2.245337,1.127112,-4.338243,0.06922479,0,2.465472,1.070744,-4.325154,0.03351299,0.3240962,0,0
1505,6,2.249014,1.126833,-4.341377,0.08606515,0,2.465993,1.070947,-4.323359,0.03343276,0.8420181,0,0
1585,6,2.25228,1.126463,-4.343786,0.07243923,0,2.466829,1.070691,-4.321988,0.02891945,-0.681296,0,0
1617,6,2.255321,1.126167,-4.345799,0.06661901,0,2.468544,1.069715,-4.320659,0.04330791,-0.2910111,0,0
1658,6,2.25546,1.126155,-4.345887,0.004001067,0,2.468659,1.069629,-4.320584,0.00391931,-3.130897,0,0
1714,6,2.260253,1.126036,-4.349878,0.1106882,0,2.472555,1.062172,-4.318215,0.1550869,5.334355,0,0
1756,6,2.262191,1.126109,-4.351449,0.05844054,0,2.47363,1.054336,-4.316205,0.1910686,-2.612381,0,0
1810,6,2.265342,1.126074,-4.353642,0.07108396,0,2.475377,1.045947,-4.31517,0.1598144,0.6321713,0,0
1867,6,2.268607,1.125822,-4.356144,0.07288384,0,2.47836,1.031762,-4.317342,0.2592253,0.08999407,0,0
1908,6,2.271286,1.125769,-4.358308,0.08354978,0,2.481119,1.018021,-4.320006,0.3460594,0.5332969,0,0
1949,6,2.274729,1.126101,-4.360553,0.09807306,0,2.484732,1.008101,-4.323745,0.2664154,0.7261638,0,0
1992,6,2.277943,1.126401,-4.363301,0.09996275,0,2.490616,0.9996111,-4.328452,0.2676481,0.09448454,0,0
2035,6,2.280732,1.126547,-4.365971,0.09210848,0,2.497949,0.9903381,-4.336143,0.3362133,-0.3927134,0,0
2088,6,2.28237,1.126858,-4.36751,0.05481188,0,2.507003,0.9783725,-4.347038,0.4479017,-1.86483,0,0
2118,6,2.28237,1.126858,-4.36751,0,0,2.515164,0.9673874,-4.356085,0.3922855,-2.740594,0,0
2160,6,2.282955,1.126991,-4.368024,0.01880913,0,2.524806,0.9545509,-4.367145,0.4644731,0.9404564,0,0
2190,6,2.286977,1.127686,-4.373374,0.2262492,0,2.524524,0.9506361,-4.376353,0.3365816,10.372,0,0
2228,6,2.287112,1.127995,-4.374784,0.03683258,0,2.524991,0.9474847,-4.382263,0.170494,-9.470832,0,0
2272,6,2.28693,1.12832,-4.37571,0.02351195,0,2.529876,0.9427047,-4.390617,0.2542692,-0.6660315,0,0
2300,6,2.286235,1.128593,-4.375756,0.02595733,0,2.534872,0.9378449,-4.398725,0.370983,0.1222689,0,0
2341,6,2.285248,1.128665,-4.376099,0.02496428,0,2.534779,0.934833,-4.405226,0.1707955,-0.04965244,0,0
2369,6,2.284577,1.128807,-4.376008,0.02518489,0,2.537638,0.9336329,-4.411423,0.25221,0.01103068,0,0
2411,6,2.283628,1.128716,-4.376491,0.02543478,0,2.537162,0.9354307,-4.415577,0.108361,0.01249462,0,0
2439,6,2.28268,1.126906,-4.383249,0.2573777,0,2.540357,0.9343618,-4.422483,0.2800833,11.59715,0,0
2466,6,2.286048,1.128125,-4.391321,0.3093577,0,2.543741,0.9328562,-4.427467,0.2175472,2.599001,0,0
2494,6,2.291499,1.130581,-4.396767,0.2942187,0,2.546647,0.9317586,-4.433195,0.2370487,-0.7569507,0,0
2524,6,2.295422,1.131581,-4.402462,0.23638,0,2.546328,0.9316812,-4.440444,0.2454884,-2.891937,0,0
2581,6,2.295058,1.130249,-4.407061,0.1223349,0,2.543706,0.9318589,-4.448108,0.2064032,-5.702252,0,0
2595,6,2.295058,1.130249,-4.407061,0,0,2.54259,0.9320598,-4.457829,0.3249499,-6.116746,0,0
2633,6,2.296331,1.129461,-4.419446,0.317737,0,2.549339,0.9326532,-4.460955,0.1900287,15.88685,0,0
2662,6,2.296331,1.129461,-4.419446,0,0,2.552203,0.9332582,-4.468863,0.2976993,-15.88685,0,0
2704,6,2.305551,1.122316,-4.443923,0.6467047,0,2.559489,0.9251225,-4.486824,0.5013863,32.33524,0,0
2729,6,2.307198,1.121049,-4.453007,0.3411417,0,2.559845,0.9233735,-4.504506,0.6505738,-15.27815,0,0
2758,6,2.307755,1.12232,-4.460049,0.2583503,0,2.557157,0.922437,-4.509637,0.2112259,-4.139569,0,0
2785,6,2.309872,1.124728,-4.467333,0.2861718,0,2.557468,0.9223815,-4.517298,0.2756891,1.391076,0,0
2814,6,2.312022,1.127111,-4.473884,0.2645757,0,2.558729,0.9229785,-4.525202,0.2910777,-1.079807,0,0
2841,6,2.314218,1.129413,-4.482986,0.3418538,0,2.560292,0.922834,-4.534425,0.3317064,3.863905,0,0
2869,6,2.316997,1.132092,-4.491984,0.3430158,0,2.561753,0.9232388,-4.544469,0.3558732,0.05810261,0,0
2897,6,2.320892,1.135457,-4.500272,0.3615406,0,2.563356,0.9241433,-4.554705,0.3853883,0.9262398,0,0
2925,6,2.324558,1.138262,-4.509461,0.3669744,0,2.566797,0.9243987,-4.56495,0.3857614,0.2716899,0,0
2954,6,2.329355,1.141766,-4.518281,0.3611267,0,2.568421,0.9245443,-4.57593,0.3769837,-0.2923876,0,0
2981,6,2.335298,1.145778,-4.525883,0.3927541,0,2.569664,0.9241487,-4.58786,0.4510694,1.581374,0,0
3007,6,2.341143,1.149912,-4.53443,0.4108334,0,2.570697,0.9250612,-4.598786,0.4057992,0.903964,0,0
3037,6,2.345195,1.152936,-4.541119,0.2976637,0,2.568478,0.9267532,-4.611167,0.4505692,-5.658487,0,0
3103,6,2.346661,1.154162,-4.546049,0.1885592,0,2.566582,0.9280199,-4.623797,0.4576339,-5.455224,0,0
3122,6,2.34596,1.153759,-4.556567,0.1907145,0,2.567048,0.9294611,-4.635317,0.2100676,0.107763,0,0
3147,6,2.345265,1.151739,-4.575347,0.7015582,0,2.567936,0.9268913,-4.660523,0.9410171,25.54219,0,0
3176,6,2.346893,1.151305,-4.586236,0.3855432,0,2.571455,0.9263576,-4.67123,0.3947687,-15.80075,0,0
3190,6,2.347656,1.15085,-4.593773,0.4885208,0,2.574492,0.926987,-4.681641,0.699266,5.148882,0,0
3216,6,2.349001,1.150509,-4.602729,0.3587707,0,2.574389,0.927686,-4.686844,0.2078889,-6.487505,0,0
3243,6,2.351103,1.150803,-4.612972,0.3777234,0,2.575435,0.9281815,-4.696981,0.368391,0.9476319,0,0
3260,6,2.352199,1.151173,-4.618442,0.3370496,0,2.57769,0.9300703,-4.705821,0.5617128,-2.03369,0,0
3285,6,2.353531,1.151786,-4.626678,0.3260562,0,2.579374,0.9333456,-4.708345,0.1740307,-0.5496696,0,0
3315,6,2.354829,1.152897,-4.634674,0.2874771,0,2.579824,0.9366485,-4.716721,0.3169036,-1.928955,0,0
3329,6,2.355672,1.153785,-4.638284,0.2464651,0,2.580097,0.9391864,-4.725556,0.5945911,-2.050596,0,0
3357,6,2.357445,1.155491,-4.643214,0.2018678,0,2.580108,0.939687,-4.730467,0.1808812,-2.229869,0,0
3384,6,2.359366,1.157274,-4.650682,0.2931996,0,2.583309,0.9413802,-4.739618,0.3645628,4.566591,0,0
3398,6,2.356351,1.160078,-4.652316,0.300001,0,2.581961,0.9458227,-4.744905,0.4765423,0.3400683,0,0
3425,6,2.313256,1.193608,-4.614506,2.501011,0,2.532304,0.9855835,-4.694697,3.051739,110.0505,0,0
3440,6,2.300005,1.203708,-4.606019,1.244181,0,2.520592,0.9951171,-4.691594,1.025843,-62.84151,0,0
3467,6,2.297374,1.205422,-4.612062,0.2537563,0,2.518894,0.9965623,-4.694915,0.1490522,-49.52125,0,0
3481,6,2.295157,1.205665,-4.615817,0.3130836,0,2.517049,0.9995441,-4.701026,0.5051551,2.966368,0,0
3509,6,2.290627,1.205086,-4.622271,0.2851568,0,2.516204,1.000574,-4.703632,0.1055553,-1.396345,0,0
3524,6,2.288036,1.204897,-4.626276,0.3280308,0,2.514354,1.002797,-4.709651,0.4588267,2.143703,0,0
3551,6,2.285796,1.206346,-4.632006,0.2305497,0,2.512681,1.00308,-4.712585,0.1236155,-4.874058,0,0
3587,6,2.285939,1.20857,-4.634718,0.1274174,0,2.510188,1.004667,-4.718574,0.2424281,-5.156612,0,0
3608,6,2.287439,1.215503,-4.640975,0.3349231,0,2.509741,1.008712,-4.722425,0.1984042,10.37529,0,0
3623,6,2.287334,1.216214,-4.641889,0.07584406,0,2.508075,1.011961,-4.72763,0.414763,-12.95395,0,0
3649,6,2.285353,1.218654,-4.646969,0.2288461,0,2.50766,1.014079,-4.729833,0.1181495,7.650104,0,0
3678,6,2.285182,1.218778,-4.64731,0.01437363,0,2.505882,1.017527,-4.734987,0.231225,-10.72363,0,0
3704,6,2.285249,1.226114,-4.656572,0.4202212,0,2.508538,1.016539,-4.738954,0.1733612,20.29238,0,0
3718,6,2.28638,1.228282,-4.658557,0.2266991,0,2.508787,1.017392,-4.743517,0.3346751,-9.676105,0,0
3745,6,2.289474,1.232418,-4.663942,0.2709203,0,2.511252,1.015276,-4.745566,0.1394575,2.211061,0,0
3759,6,2.29169,1.234755,-4.668067,0.3800701,0,2.513986,1.014799,-4.749579,0.3543775,5.457491,0,0
3787,6,2.294616,1.237421,-4.675016,0.2806262,0,2.517319,1.013647,-4.750821,0.131188,-4.972193,0,0
3801,6,2.29584,1.238053,-4.678932,0.3040421,0,2.520734,1.013263,-4.754078,0.3467474,1.170793,0,0
3830,6,2.297479,1.237801,-4.685884,0.2510107,0,2.522292,1.013137,-4.755102,0.06563301,-2.651572,0,0
3843,6,2.297683,1.237018,-4.688683,0.2124559,0,2.524839,1.012263,-4.757831,0.2796081,-1.927737,0,0
3860,6,2.297511,1.235614,-4.692157,0.2244064,0,2.52601,1.010471,-4.758816,0.1409343,0.5975239,0,0
3885,6,2.297053,1.232774,-4.698435,0.2736431,0,2.527135,1.007739,-4.758358,0.1184598,2.461837,0,0
3900,6,2.296864,1.231745,-4.700561,0.1699825,0,2.529769,1.005875,-4.758864,0.2344346,-5.183032,0,0
3916,6,2.296058,1.231695,-4.700731,0.05040767,0,2.530912,1.006097,-4.757101,0.1290881,-5.978742,0,0
3941,6,2.295651,1.231455,-4.701035,0.02211067,0,2.530902,1.009323,-4.751928,0.2397516,-1.41485,0,0
3955,6,2.295445,1.231055,-4.70139,0.04137167,0,2.531411,1.012357,-4.746356,0.4596204,0.9630499,0,0
3971,6,2.29518,1.230823,-4.701554,0.02376034,0,2.530128,1.015091,-4.741112,0.3695129,-0.8805664,0,0
3997,6,2.294987,1.230741,-4.701488,0.008570554,0,2.527099,1.01687,-4.735128,0.2705538,-0.7594892,0,0
