time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
7,0,-1.038089,1.192109,0.4813487,0.1445369,0,-0.6439583,0.9193892,0.4967896,0.005920362,7.226844
18,0,-1.03805,1.193627,0.4798504,0.1601181,0,-0.6440454,0.9194723,0.4968522,0.01018526,0.7790595
33,0,-1.037951,1.195596,0.4785763,0.1649634,0,-0.6442251,0.9195756,0.4969218,0.01536683,0.2422661
47,0,-1.037801,1.198155,0.4777025,0.1946258,0,-0.6444205,0.9196652,0.4970025,0.01650096,1.483118
61,0,-1.037367,1.200738,0.4766644,0.2026659,0,-0.6444993,0.9197811,0.497128,0.01353537,0.4020087
75,0,-1.036853,1.20364,0.4754922,0.2283916,0,-0.6446041,0.9200498,0.4973519,0.02629308,1.286284
89,0,-1.036377,1.206555,0.4737236,0.2478231,0,-0.6446924,0.9203683,0.4976408,0.0315988,0.9715736
103,0,-1.0364,1.209143,0.4717461,0.2284006,0,-0.6448259,0.9206128,0.4978112,0.02289322,-0.9711236
117,0,-1.036488,1.211753,0.469644,0.2503108,0,-0.6450382,0.9208452,0.4979317,0.02516949,1.095512
130,0,-1.036505,1.214208,0.4672754,0.2394187,0,-0.6452065,0.9210483,0.4979812,0.0188303,-0.5446091
145,0,-1.036718,1.216371,0.4647013,0.2443496,0,-0.6454259,0.9213508,0.4981195,0.02890268,0.2465457
159,0,-1.037309,1.218076,0.461504,0.256703,0,-0.6456473,0.9216803,0.4983093,0.03077308,0.6176725
173,0,-1.038732,1.219635,0.4582165,0.2835863,0,-0.645939,0.922092,0.4986057,0.0424761,1.344165
186,0,-1.040021,1.221313,0.4553181,0.2624714,0,-0.6462615,0.9224979,0.4989241,0.04449467,-1.055747
201,0,-1.041213,1.222933,0.4530333,0.2176728,0,-0.6464877,0.922775,0.4991555,0.03046543,-2.239931
215,0,-1.04247,1.224642,0.4517857,0.1771569,0,-0.6466955,0.9230337,0.4993774,0.02874039,-2.025793
228,0,-1.04315,1.226682,0.4513837,0.1567958,0,-0.6468629,0.9234422,0.4996749,0.03814188,-1.018057
241,0,-1.043222,1.228697,0.4508791,0.1504979,0,-0.6469237,0.924096,0.500135,0.05806084,-0.3148921
256,0,-1.043329,1.230416,0.4496479,0.1492752,0,-0.6468232,0.9250367,0.5008435,0.08334626,-0.06113797
270,0,-1.042912,1.232212,0.4474345,0.2111554,0,-0.6466866,0.9259933,0.5016552,0.09249586,3.094013
