time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
23,7,2.196072,2.136055,-4.255974,3.108568,0,2.270571,2.105786,-4.405587,3.209725,155.4284,0,0
101,7,2.194736,1.019051,-4.25235,3.351032,0,2.284723,0.9874989,-4.520691,3.372852,12.12323,0,0
160,7,2.208512,1.001112,-4.255519,1.141963,0,2.250258,0.9574494,-4.577845,3.659695,-110.4535,0,0
188,7,2.227808,0.9868452,-4.259977,0.8684712,0,2.2436,0.9374782,-4.614259,1.496562,-13.6746,0,0
201,7,2.237888,0.9815377,-4.260953,0.9245107,0,2.23875,0.9306202,-4.62709,1.240143,2.801976,0,0
214,7,2.2446,0.9783051,-4.261035,0.5445123,0,2.233401,0.9246995,-4.638989,1.04708,-18.99992,0,0
228,7,2.237717,0.974833,-4.263321,0.5809986,0,2.235319,0.9156723,-4.648067,0.9353988,1.824313,0,0
241,7,2.225394,0.971471,-4.265826,0.9385451,0,2.239212,0.9075119,-4.653962,0.7782764,17.87733,0,0
255,7,2.218138,0.9661791,-4.268198,0.6788018,0,2.240458,0.9007139,-4.661301,0.736645,-12.98716,0,0
269,7,2.198127,0.9547825,-4.275941,1.77406,0,2.245125,0.8939456,-4.663765,0.6266797,54.76289,0,0
283,7,2.183271,0.9430315,-4.283627,1.508744,0,2.246068,0.8879289,-4.667094,0.5122954,-13.26577,0,0
296,7,2.171855,0.931138,-4.291022,1.297909,0,2.24552,0.8829432,-4.670256,0.4259046,-10.54177,0,0
311,7,2.161378,0.9176359,-4.298185,1.353743,0,2.244593,0.8787733,-4.672694,0.3593017,2.791691,0,0
338,7,2.153774,0.8886095,-4.313803,1.210637,0,2.240968,0.8787795,-4.676416,0.1859596,-7.15527,0,0
352,7,2.150126,0.8737687,-4.319695,1.201044,0,2.239074,0.878688,-4.674973,0.1747791,-0.4796505,0,0
366,7,2.150187,0.8580107,-4.327468,1.301636,0,2.237919,0.8771778,-4.675171,0.1415993,5.029601,0,0
379,7,2.154276,0.8409705,-4.335872,1.417527,0,2.238769,0.8751789,-4.67734,0.2238891,5.794561,0,0
392,7,2.160005,0.8251656,-4.342459,1.323471,0,2.240789,0.8708162,-4.681597,0.470684,-4.702801,0,0
408,7,2.166853,0.8092088,-4.348534,1.270945,0,2.241102,0.8629977,-4.687217,0.6655992,-2.626318,0,0
420,7,2.174397,0.7939741,-4.353792,1.314773,0,2.238311,0.8534249,-4.692222,0.8243363,2.191377,0,0
434,7,2.182496,0.7808169,-4.358054,1.162097,0,2.233252,0.8439353,-4.696418,0.837007,-7.633764,0,0
448,7,2.18917,0.7718687,-4.360869,0.8534409,0,2.228007,0.835407,-4.698637,0.7601735,-15.43282,0,0
462,7,2.195588,0.764519,-4.363176,0.7194005,0,2.22103,0.8246235,-4.69987,0.9257911,-6.702021,0,0
476,7,2.198655,0.7595218,-4.365645,0.4538001,0,2.2142,0.8117103,-4.697787,1.052535,-13.28002,0,0
