time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
12,24,2.292728,2.176426,-4.292964,3.226432,0,2.060754,1.877599,-4.59515,3.0646,161.3216,0,0
43,24,2.292777,1.076393,-4.292824,3.300097,0,2.060754,0.7775989,-4.59515,3.3,3.683245,0,0
69,24,2.292794,1.076439,-4.292856,0.00290729,0,2.060754,0.7775989,-4.59515,2.980232E-06,-164.8595,0,0
81,24,2.292762,1.076446,-4.292903,0.00450814,0,2.060754,0.7775989,-4.59515,0,0.08004252,0,0
97,24,2.292711,1.076437,-4.292981,0.006173246,0,2.060754,0.7775989,-4.59515,0,0.08325528,0,0
111,24,2.292642,1.076407,-4.293061,0.007239527,0,2.060754,0.7775991,-4.59515,1.570755E-05,0.05331405,0,0
126,24,2.292569,1.076388,-4.293114,0.006319071,0,2.060754,0.777599,-4.59515,8.205147E-06,-0.04602277,0,0
141,24,2.29247,1.076371,-4.293173,0.007914048,0,2.060754,0.7775989,-4.59515,4.032409E-06,0.07974882,0,0
155,24,2.292374,1.076341,-4.293242,0.008328195,0,2.060754,0.7775989,-4.59515,4.052174E-06,0.02070735,0,0
170,24,2.292246,1.076291,-4.293334,0.01117451,0,2.060754,0.7775989,-4.59515,1.615609E-05,0.1423158,0,0
184,24,2.292053,1.076231,-4.293413,0.01495347,0,2.060754,0.777599,-4.59515,2.060121E-05,0.1889479,0,0
198,24,2.291909,1.076197,-4.293435,0.01056941,0,2.060754,0.7775989,-4.59515,8.384804E-06,-0.2192031,0,0
213,24,2.29168,1.076108,-4.293484,0.01743859,0,2.060754,0.7775989,-4.59515,4.161696E-06,0.3434591,0,0
227,24,2.291456,1.075975,-4.29355,0.01914416,0,2.060754,0.777599,-4.59515,8.486339E-06,0.08527879,0,0
241,24,2.291179,1.075772,-4.29364,0.02497969,0,2.060754,0.7775989,-4.59515,8.38687E-06,0.2917765,0,0
255,24,2.290558,1.075267,-4.293866,0.05940964,0,2.060754,0.7775989,-4.59515,4.259209E-06,1.721498,0,0
270,24,2.289598,1.074486,-4.294208,0.08648816,0,2.060754,0.7775989,-4.59515,0,1.353926,0,0
283,24,2.288388,1.073428,-4.294667,0.1272416,0,2.060754,0.777599,-4.59515,1.871844E-05,2.037671,0,0
297,24,2.286721,1.071761,-4.295434,0.1735908,0,2.060754,0.7775989,-4.59515,1.866393E-05,2.317462,0,0
311,24,2.285219,1.06989,-4.296176,0.1832165,0,2.060754,0.7775989,-4.59515,0,0.4812866,0,0
326,24,2.283469,1.067487,-4.296878,0.2141819,0,2.060754,0.7775989,-4.59515,4.17853E-06,1.54827,0,0
