time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
15,23,2.312859,2.15951,-4.323147,3.189533,0,2.031874,1.957576,-4.488657,3.173545,159.4767,0,0
42,23,2.30139,1.05196,-4.328465,3.322868,0,2.032655,0.8551632,-4.481238,3.307315,6.666732,0,0
81,23,2.294908,1.043158,-4.331971,0.5739841,0,2.033816,0.8501033,-4.465964,0.8066083,-137.4442,0,0
93,23,2.291239,1.037958,-4.333146,0.4888131,0,2.0387,0.8504813,-4.450892,1.197057,-4.258551,0,0
107,23,2.287466,1.033303,-4.335102,0.465789,0,2.042092,0.8529264,-4.445138,0.5256668,-1.151209,0,0
120,23,2.284135,1.028347,-4.337039,0.4590755,0,2.046161,0.8565874,-4.43844,0.6324812,-0.3356725,0,0
134,23,2.281154,1.023618,-4.338908,0.4357482,0,2.05042,0.8609487,-4.431571,0.6789894,-1.166365,0,0
147,23,2.278502,1.017664,-4.341189,0.5141513,0,2.055007,0.8648723,-4.425909,0.6161699,3.920156,0,0
161,23,2.277257,1.013483,-4.342412,0.3287204,0,2.059697,0.8680546,-4.421442,0.5236002,-9.271546,0,0
175,23,2.27393,1.009331,-4.342785,0.3867761,0,2.064476,0.8715466,-4.416947,0.5389486,2.902786,0,0
188,23,2.268439,1.003786,-4.343559,0.5832069,0,2.069531,0.8740406,-4.41184,0.5656674,9.821537,0,0
202,23,2.26353,0.9971079,-4.345714,0.6239964,0,2.074773,0.8753051,-4.405927,0.5831147,2.039477,0,0
215,23,2.261452,0.9912522,-4.348526,0.5023332,0,2.07602,0.874229,-4.404882,0.1436309,-6.083164,0,0
229,23,2.24599,0.9844682,-4.344808,1.246002,0,2.081283,0.8749375,-4.399758,0.5318878,37.18346,0,0
243,23,2.228944,0.98662,-4.342115,1.270718,0,2.086571,0.8758273,-4.395545,0.4982219,1.235765,0,0
257,23,2.213787,0.9875902,-4.340198,1.116896,0,2.09189,0.876902,-4.39186,0.4785971,-7.691085,0,0
270,23,2.196195,0.9836056,-4.337181,1.328159,0,2.097495,0.877882,-4.388752,0.4708394,10.56317,0,0
285,23,2.187283,0.9813391,-4.335547,0.6679611,0,2.103285,0.8785981,-4.385236,0.4871829,-33.00992,0,0
298,23,2.183237,0.9783525,-4.334082,0.3817386,0,2.108952,0.8789985,-4.381233,0.5064714,-14.31112,0,0
312,23,2.17925,0.9761251,-4.332786,0.3345202,0,2.114589,0.879077,-4.377512,0.4760216,-2.360922,0,0
326,23,2.178561,0.9741628,-4.331478,0.1824114,0,2.119982,0.8787826,-4.374662,0.4533975,-7.605438,0,0
340,23,2.17672,0.9716493,-4.330089,0.2456755,0,2.125071,0.8774527,-4.372362,0.4133846,3.163201,0,0
353,23,2.175147,0.9692358,-4.328921,0.224261,0,2.129764,0.8760946,-4.370815,0.369805,-1.070722,0,0
367,23,2.174249,0.9675043,-4.327674,0.1681266,0,2.134046,0.8743829,-4.369504,0.3480935,-2.806724,0,0
382,23,2.174262,0.9667377,-4.326058,0.1260657,0,2.137846,0.8726501,-4.368471,0.3032421,-2.103044,0,0
