time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
9,0,0.8893906,1.507352,2.905706,0.4802241,0,0.8060313,1.426372,2.786843,0.09906144,24.01121
22,0,0.8885512,1.508604,2.906463,0.1197052,0,0.8056117,1.427054,2.786838,0.05682657,-18.02595
35,0,0.8883024,1.508951,2.907717,0.09725165,0,0.8054669,1.427326,2.786701,0.02475293,-1.122677
50,0,0.88761,1.508958,2.90851,0.07386117,0,0.8051767,1.42789,2.786528,0.0460836,-1.169524
64,0,0.8870175,1.509558,2.908637,0.06142752,0,0.8049089,1.42818,2.786545,0.02847433,-0.6216828
77,0,0.8867282,1.510647,2.908117,0.08901493,0,0.8046383,1.42823,2.786667,0.02160761,1.379371
91,0,0.886665,1.512409,2.907146,0.1458047,0,0.8044587,1.428104,2.786806,0.01878688,2.839487
106,0,0.886582,1.514389,2.90582,0.1722718,0,0.8043884,1.428039,2.786873,0.008436823,1.323357
120,0,0.8859959,1.516008,2.904365,0.1606779,0,0.8041896,1.428137,2.786904,0.01595784,-0.5796969
133,0,0.8850543,1.516785,2.903079,0.126331,0,0.8037729,1.428396,2.786927,0.03498391,-1.717345
147,0,0.8842334,1.517,2.902068,0.09591952,0,0.8034728,1.428516,2.786864,0.02393751,-1.520572
161,0,0.8839122,1.517434,2.901178,0.07542939,0,0.8031691,1.428572,2.78668,0.02605155,-1.024506
175,0,0.8839512,1.518179,2.900267,0.08425511,0,0.8030988,1.428633,2.786475,0.01610604,0.441286
189,0,0.8841752,1.518812,2.899255,0.08724508,0,0.803223,1.428765,2.786265,0.01994678,0.1494981
203,0,0.8846186,1.518884,2.89838,0.07057581,0,0.8035391,1.428983,2.786109,0.02972207,-0.8334633
216,0,0.8852043,1.518473,2.897634,0.07366895,0,0.8037958,1.429075,2.785949,0.02252425,0.1546569
231,0,0.8860786,1.518378,2.896689,0.08976451,0,0.8040306,1.429185,2.7858,0.02080668,0.8047779
245,0,0.8874779,1.518635,2.895216,0.1486485,0,0.8042977,1.429409,2.785614,0.02868411,2.944202
259,0,0.8887957,1.51901,2.893585,0.1554746,0,0.8046039,1.42986,2.785318,0.04525607,0.3413051
