time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
18,5,2.329479,2.133152,-4.337678,3.120006,0,2.539795,1.811359,-4.445921,2.286214,156.0003,0,0
132,5,2.328212,1.033165,-4.337865,3.299962,0,2.539085,0.7114671,-4.445766,3.299676,8.99781,0,0
187,5,2.327674,1.033312,-4.337551,0.03201081,0,2.539157,0.7115264,-4.445765,0.004662474,-163.3976,0,0
212,5,2.327493,1.033619,-4.337072,0.01837777,0,2.539109,0.7116185,-4.44572,0.003498173,-0.6816519,0,0
238,5,2.327306,1.033632,-4.336999,0.007279161,0,2.538977,0.7116498,-4.445728,0.004919989,-0.5549306,0,0
266,5,2.327111,1.033429,-4.337198,0.01282231,0,2.538907,0.71165,-4.44573,0.002607154,0.2771573,0,0
293,5,2.326725,1.033315,-4.337352,0.01564358,0,2.538844,0.7117561,-4.445762,0.00460379,0.1410634,0,0
323,5,2.326612,1.033214,-4.337508,0.007491887,0,2.538535,0.7120546,-4.445735,0.01482508,-0.4075845,0,0
365,5,2.326692,1.033115,-4.337526,0.003083205,0,2.538729,0.7118713,-4.445736,0.00642269,-0.2204341,0,0
404,5,2.326905,1.032961,-4.337777,0.009206597,0,2.538839,0.7117517,-4.445582,0.005660274,0.3061696,0,0
431,5,2.327165,1.032929,-4.337739,0.0096119,0,2.538732,0.7117926,-4.445554,0.004277331,0.02026516,0,0
459,5,2.327388,1.032629,-4.338075,0.01816435,0,2.53862,0.7118606,-4.445511,0.004987497,0.4276224,0,0
487,5,2.327099,1.03179,-4.339184,0.05095539,0,2.538341,0.7122636,-4.445438,0.01778445,1.639552,0,0
515,5,2.326722,1.030348,-4.341131,0.08639973,0,2.537993,0.7123533,-4.445321,0.01330003,1.772217,0,0
558,5,2.327041,1.026469,-4.34626,0.1550757,0,2.537494,0.7126163,-4.445185,0.01397294,3.4338,0,0
584,5,2.326046,1.02265,-4.351228,0.2265911,0,2.536959,0.7129923,-4.445121,0.02347313,3.575767,0,0
613,5,2.325078,1.017922,-4.357298,0.2778627,0,2.536882,0.713127,-4.445116,0.005556063,2.563582,0,0
639,5,2.323838,1.012805,-4.363901,0.3103867,0,2.536987,0.7131916,-4.445222,0.00597603,1.626198,0,0
669,5,2.319544,1.00681,-4.371401,0.3611576,0,2.536793,0.7123705,-4.445202,0.02897984,2.538545,0,0
710,5,2.312376,0.9964401,-4.384181,0.4396418,0,2.534489,0.7107655,-4.444957,0.06901793,3.924211,0,0
737,5,2.305714,0.9866037,-4.394993,0.5741624,0,2.531321,0.7116292,-4.444823,0.1174658,6.726033,0,0
767,5,2.300414,0.9775487,-4.404947,0.5068388,0,2.528435,0.7139713,-4.444823,0.1302543,-3.366181,0,0
793,5,2.296373,0.9680448,-4.414359,0.5137511,0,2.5257,0.7174502,-4.445038,0.1629036,0.3456175,0,0
826,5,2.292328,0.9562185,-4.425175,0.5229995,0,2.52346,0.7221006,-4.445295,0.1635283,0.4624158,0,0
863,5,2.288335,0.9382119,-4.440032,0.6211273,0,2.523498,0.729193,-4.445992,0.1869059,4.906392,0,0
891,5,2.285647,0.923209,-4.450421,0.6408839,0,2.530285,0.7390132,-4.447724,0.4190885,0.9878278,0,0
920,5,2.280392,0.9092231,-4.459594,0.644034,0,2.539699,0.7540561,-4.450124,0.6578479,0.1575053,0,0
948,5,2.274966,0.895514,-4.467779,0.5999855,0,2.543916,0.7662566,-4.45143,0.4616261,-2.202421,0,0
974,5,2.271001,0.8824553,-4.4748,0.5617312,0,2.542638,0.7746959,-4.451649,0.3125054,-1.912719,0,0
1004,5,2.25461,0.8713334,-4.478026,0.7152612,0,2.538731,0.7799327,-4.450479,0.2365727,7.676503,0,0
1031,5,2.255038,0.8654959,-4.476547,0.2129762,0,2.532776,0.7800965,-4.448729,0.2190072,-25.11425,0,0
1059,5,2.262357,0.8791581,-4.462234,0.7706851,0,2.5239,0.7776132,-4.446218,0.3489737,27.88545,0,0
