time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
711,0,1.145755,1.495134,2.984312,0.08317329,0,0.8834948,1.416553,2.740502,0.01101363,-0.5194824
724,0,1.145716,1.494924,2.984474,0.01922355,0,0.8834565,1.4163,2.740632,0.02061466,-3.197487
739,0,1.145483,1.494737,2.98454,0.02218034,0,0.8834662,1.416076,2.740729,0.01770794,0.1478399
752,0,1.14556,1.494524,2.984684,0.01923989,0,0.8834972,1.415855,2.740806,0.01690001,-0.1470226
766,0,1.145881,1.494422,2.984838,0.02657595,0,0.8835201,1.41564,2.740847,0.01577825,0.3668029
780,0,1.145975,1.494015,2.985139,0.03661383,0,0.8835154,1.415561,2.740855,0.005661449,0.5018939
823,0,1.147694,1.493264,2.985654,0.1463671,0,0.8835199,1.415538,2.740811,0.003750001,5.487661
836,0,1.148045,1.492717,2.985549,0.04755075,0,0.8835214,1.415536,2.740785,0.001868126,-4.940815
850,0,1.148525,1.491922,2.985302,0.06928489,0,0.8835467,1.415566,2.740725,0.00518157,1.086707
863,0,1.148585,1.491687,2.985026,0.02661886,0,0.8835592,1.415617,2.740664,0.00581134,-2.133301
878,0,1.148766,1.49153,2.98475,0.02571476,0,0.8835641,1.415658,2.740612,0.004675434,-0.04520491
892,0,1.149298,1.490949,2.984345,0.06360919,0,0.8835756,1.415684,2.740558,0.004348699,1.894722
905,0,1.149886,1.490305,2.983948,0.07103908,0,0.8835871,1.415711,2.740517,0.003724338,0.3714945
919,0,1.150606,1.489431,2.983404,0.0898516,0,0.8836058,1.415728,2.740476,0.003485299,0.9406261
933,0,1.151379,1.488367,2.982869,0.1005539,0,0.8836304,1.415721,2.740447,0.002707176,0.535116
947,0,1.151914,1.487491,2.982466,0.07916952,0,0.8836297,1.415682,2.740461,0.002921978,-1.06922
961,0,1.152086,1.487234,2.982352,0.02373099,0,0.8836225,1.415619,2.740503,0.00551074,-2.771927
975,0,1.152037,1.487494,2.982429,0.0196129,0,0.883615,1.415554,2.740551,0.005763682,-0.2059043
989,0,1.15233,1.487398,2.982281,0.0251821,0,0.8836036,1.415503,2.740592,0.004885942,0.27846
1003,0,1.153459,1.486781,2.981631,0.1034656,0,0.8835633,1.415406,2.740672,0.009455176,3.914177
1017,0,1.154113,1.486824,2.981052,0.06198722,0,0.8834991,1.415312,2.740742,0.009475233,-2.073921
1031,0,1.155375,1.487191,2.979792,0.1290005,0,0.8834337,1.415246,2.74078,0.007097882,3.350663
1045,0,1.157617,1.488335,2.977246,0.2569661,0,0.8833202,1.415162,2.740821,0.01057831,6.398281
1059,0,1.1586,1.489413,2.975369,0.1706861,0,0.8831915,1.415111,2.740843,0.0100481,-4.314002
1072,0,1.159536,1.490221,2.973265,0.1790314,0,0.8830887,1.4151,2.740849,0.007602074,0.4172668
1086,0,1.160361,1.491061,2.970743,0.2001699,0,0.8829622,1.41511,2.740851,0.009124186,1.056927
1100,0,1.160877,1.491878,2.968435,0.1777724,0,0.8827739,1.415144,2.740868,0.01365617,-1.119877
1114,0,1.161404,1.49239,2.966406,0.1540438,0,0.8825776,1.415234,2.740878,0.01542801,-1.186429
1129,0,1.162017,1.492772,2.964649,0.1328206,0,0.8824059,1.41534,2.740876,0.01410095,-1.061162
