time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
43,27,1.946345,1.873039,-4.252093,7.770082,0,1.987848,1.900687,-4.541204,9.690053,388.5041,0,0
103,27,1.946284,0.7730277,-4.252276,10.10237,0,1.987848,0.8006865,-4.541204,10.10226,116.6142,0,0
139,27,1.946255,0.7730364,-4.252319,0.002606211,0,1.987847,0.8006861,-4.541204,2.169642E-05,-504.988,0,0
200,27,1.946351,0.7729082,-4.251978,0.009350279,0,1.987848,0.8006865,-4.541204,1.078203E-05,0.3372034,0,0
215,27,1.946414,0.7728894,-4.25189,0.001994972,0,1.987848,0.8006862,-4.541204,4.316229E-06,-0.3677654,0,0
267,27,1.946553,0.7727757,-4.251667,0.02201878,0,1.987848,0.8006866,-4.541204,2.896271E-05,1.00119,0,0
283,27,1.946567,0.7727502,-4.251637,0.0007450682,0,1.987844,0.8006718,-4.541213,0.0003148595,-1.063686,0,0
335,27,1.946471,0.772806,-4.251528,0.01166535,0,1.987875,0.8004293,-4.541492,0.02777863,0.5460143,0,0
341,27,1.946464,0.7728176,-4.25154,0.0004089358,0,1.98787,0.8004184,-4.541499,0.0003019669,-0.562821,0,0
350,27,1.946443,0.7728376,-4.251566,0.00382227,0,1.987841,0.800393,-4.541515,0.004123039,0.1706667,0,0
422,27,1.946279,0.7729701,-4.251485,0.01636728,0,1.987737,0.8002462,-4.541528,0.01308572,0.6272505,0,0
434,27,1.946263,0.7729397,-4.251469,0.0005435419,0,1.987711,0.8002061,-4.541542,0.0007139663,-0.7911869,0,0
487,27,1.946183,0.7728369,-4.251241,0.01905215,0,1.987645,0.8001174,-4.541567,0.008230247,0.9254302,0,0
492,27,1.946146,0.7728601,-4.251205,0.001263575,0,1.987643,0.8001189,-4.541564,0.0001009784,-0.8894286,0,0
503,27,1.946139,0.7728681,-4.251147,0.005309828,0,1.987637,0.8001227,-4.541559,0.0007043566,0.2023126,0,0
576,27,1.946361,0.7722657,-4.250288,0.07554676,0,1.987528,0.7999527,-4.541674,0.0163708,3.511847,0,0
587,27,1.946463,0.772043,-4.249965,0.005820199,0,1.987529,0.7999548,-4.541682,0.000120528,-3.486328,0,0
640,27,1.94781,0.7694548,-4.24703,0.2878549,0,1.98755,0.800051,-4.54168,0.006850764,14.10173,0,0
645,27,1.947967,0.7689902,-4.246554,0.01576032,0,1.987551,0.8000642,-4.541681,0.0003061855,-13.60473,0,0
695,27,1.951977,0.762739,-4.239239,0.865568,0,1.987505,0.8001775,-4.541669,0.0102026,42.49039,0,0
