time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
9,0,-1.044418,1.200657,0.4595825,0.07931438,0,-0.7041706,0.937737,0.6041418,0.06664593,3.965719
35,0,-1.044483,1.19835,0.4574324,0.117758,0,-0.7028713,0.9407259,0.6056955,0.1347874,1.922179
48,0,-1.043081,1.19844,0.4549037,0.2058767,0,-0.7018445,0.9433084,0.6070668,0.2205635,4.405937
62,0,-1.043179,1.20096,0.4551902,0.1816299,0,-0.7010781,0.9453436,0.6081501,0.1738965,-1.212341
76,0,-1.043601,1.205038,0.4562106,0.3039288,0,-0.7001018,0.9472343,0.6090777,0.1669768,6.114947
90,0,-1.044083,1.209786,0.4573953,0.3489877,0,-0.6990623,0.9488985,0.6095203,0.1427615,2.252944
104,0,-1.044142,1.213464,0.457873,0.2686393,0,-0.698135,0.9504212,0.6096928,0.1296964,-4.017419
118,0,-1.043831,1.217216,0.4580393,0.2697218,0,-0.6970134,0.9517904,0.6096041,0.126858,0.054124
132,0,-1.043131,1.221702,0.4576185,0.3248817,0,-0.6957377,0.952895,0.6092581,0.1227378,2.757996
146,0,-1.041992,1.226908,0.4566662,0.392878,0,-0.6947001,0.9542421,0.6091071,0.1238794,3.399812
160,0,-1.040154,1.233215,0.4553188,0.47592,0,-0.693724,0.9558913,0.608997,0.1362168,4.152102
174,0,-1.037342,1.240644,0.4533811,0.5913284,0,-0.6928873,0.9577863,0.6090934,0.149996,5.770422
188,0,-1.034213,1.247477,0.4513765,0.5588675,0,-0.6922801,0.9599477,0.609367,0.1625001,-1.623046
202,0,-1.030199,1.254484,0.4486576,0.6144596,0,-0.6917444,0.9622611,0.6098219,0.1743599,2.779603
216,0,-1.02563,1.261273,0.4454091,0.6284403,0,-0.6913208,0.9645931,0.6103507,0.1733181,0.6990373
229,0,-1.02082,1.267879,0.441392,0.6565212,0,-0.6910849,0.9668308,0.610818,0.1657068,1.404044
243,0,-1.015866,1.274994,0.4367948,0.6997095,0,-0.690989,0.9688239,0.6111046,0.1437386,2.159417
257,0,-1.010394,1.282652,0.432037,0.7561227,0,-0.6909693,0.970479,0.6110977,0.118664,2.820659
272,0,-1.00476,1.290837,0.4269165,0.7849041,0,-0.6909875,0.9717129,0.6107671,0.0897145,1.439071
285,0,-0.9987434,1.29896,0.4211383,0.8676134,0,-0.6912336,0.9725587,0.6101853,0.07866563,4.135463
299,0,-0.9925767,1.306396,0.414139,0.8528764,0,-0.6916983,0.9730626,0.6094032,0.07434652,-0.7368505
313,0,-0.9862542,1.313126,0.4061706,0.8705297,0,-0.6923296,0.972971,0.6083287,0.08918755,0.8826673
327,0,-0.9795461,1.319338,0.3975801,0.8977812,0,-0.6929424,0.972675,0.607182,0.09542859,1.362574
341,0,-0.9725089,1.325187,0.3884335,0.9293746,0,-0.6934305,0.9722275,0.6060534,0.0939936,1.579672
355,0,-0.9652837,1.330834,0.3786097,0.9635129,0,-0.69406,0.9713258,0.6048225,0.1183399,1.706913
368,0,-0.9583907,1.336635,0.3690334,0.9482285,0,-0.6945559,0.9705462,0.6038486,0.09681307,-0.764218
383,0,-0.9516692,1.342469,0.3596349,0.9219952,0,-0.6949617,0.9696978,0.6029961,0.09041862,-1.311666
397,0,-0.9450949,1.347772,0.3503011,0.9088925,0,-0.695424,0.9683778,0.6021696,0.1172989,-0.6551355
410,0,-0.9390268,1.352652,0.3406208,0.8894395,0,-0.6957837,0.9669726,0.6013958,0.117698,-0.9726524
425,0,-0.9329706,1.356937,0.3308738,0.8753951,0,-0.6960523,0.9657555,0.6008518,0.09719041,-0.7022202
439,0,-0.9267201,1.360927,0.3213033,0.8607645,0,-0.6963447,0.9647093,0.6007977,0.07732609,-0.7315278
