time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
9,28,-3.354445,0.938841,-4.490932,0.236149,0,-3.151796,1.005111,-4.502193,0.08817437,11.80745,0,6
23,28,-3.355421,0.9409705,-4.494074,0.2772397,0,-3.152314,1.004955,-4.50276,0.05541977,2.054532,0,6
75,28,-3.358538,0.9524115,-4.503001,1.057486,0,-3.15377,1.004485,-4.505163,0.2029523,39.01234,0,6
92,28,-3.360754,0.9574742,-4.507894,0.1332867,0,-3.154548,1.004442,-4.50614,0.02257223,-46.20999,0,6
143,28,-3.374421,0.9820771,-4.531361,2.560902,0,-3.15752,1.004399,-4.510829,0.3879494,121.3808,0,6
149,28,-3.37873,0.9886916,-4.538121,0.2421561,0,-3.158322,1.00447,-4.512068,0.03443145,-115.9373,0,6
160,28,-3.392417,1.008584,-4.558817,2.845961,0,-3.16063,1.004871,-4.515873,0.3999003,130.1902,0,6
233,28,-3.406263,1.016238,-4.571771,1.439915,0,-3.163296,1.007279,-4.515181,0.2577027,-70.30228,0,6
244,28,-3.414344,1.022739,-4.580941,0.1986449,0,-3.164582,1.008177,-4.515785,0.02411633,-62.06351,0,6
259,28,-3.458871,1.053335,-4.629663,4.978611,0,-3.171229,1.013213,-4.518734,0.605278,238.9983,0,6
332,28,-3.475079,1.051264,-4.644247,1.604224,0,-3.174036,1.015648,-4.519248,0.2747662,-168.7194,0,6
343,28,-3.486861,1.054279,-4.655332,0.2365366,0,-3.175908,1.017128,-4.520078,0.0363192,-68.38437,0,6
393,28,-3.549226,1.060569,-4.708791,5.841086,0,-3.185234,1.024625,-4.525627,0.9352007,280.2275,0,6
399,28,-3.561817,1.060233,-4.71879,0.3773242,0,-3.187165,1.026177,-4.526891,0.06524218,-273.1881,0,6
411,28,-3.599547,1.058482,-4.748036,3.850703,0,-3.192909,1.030703,-4.530795,0.6682796,173.669,0,6
425,28,-3.610372,1.054239,-4.755601,0.9758976,0,-3.194837,1.032189,-4.5322,0.1977219,-143.7403,0,6
518,28,-3.621608,1.035519,-4.765184,1.695749,0,-3.198106,1.034754,-4.534753,0.3468292,35.99258,0,6
523,28,-3.624753,1.033324,-4.767685,0.05491158,0,-3.199059,1.035448,-4.535428,0.01629516,-82.04188,0,6
575,28,-3.652061,1.003412,-4.790523,3.275096,0,-3.208832,1.041799,-4.540309,0.8900613,161.0092,0,6
580,28,-3.655505,0.9980907,-4.793537,0.1646833,0,-3.210748,1.04298,-4.541009,0.05530087,-155.5206,0,6
632,28,-3.657483,0.9853953,-4.796536,1.019325,0,-3.215947,1.046213,-4.541736,0.4762795,42.73208,0,6
636,28,-3.658225,0.9814148,-4.797535,0.0959319,0,-3.217625,1.04729,-4.542023,0.04634964,-46.16965,0,6
