time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
7,31,-4.02325,0.9290878,-4.518851,0.1675514,0,-3.44455,1.230066,-4.522315,0.07442988,8.377572,0,8
25,31,-4.02299,0.9287863,-4.519549,0.05356337,0,-3.443892,1.231495,-4.522577,0.1063282,-5.699403,0,8
36,31,-4.023023,0.9307604,-4.519414,0.1504545,0,-3.443314,1.232318,-4.522691,0.0769485,4.844555,0,8
51,31,-4.022377,0.9311433,-4.519929,0.06621417,0,-3.442699,1.232924,-4.522719,0.06279191,-4.212015,0,8
65,31,-4.020931,0.9304706,-4.521287,0.1517843,0,-3.442343,1.233031,-4.522672,0.02713349,4.278506,0,8
76,31,-4.018726,0.9310116,-4.522968,0.2021544,0,-3.441964,1.233209,-4.522609,0.0303298,2.518507,0,8
91,31,-4.016585,0.9331113,-4.52444,0.2347279,0,-3.441104,1.233937,-4.522458,0.0798654,1.628675,0,8
108,31,-4.013263,0.9364467,-4.526544,0.3566571,0,-3.44018,1.234534,-4.522137,0.07930273,6.09646,0,8
122,31,-4.009455,0.9400476,-4.529088,0.4199001,0,-3.439339,1.234826,-4.521893,0.06649934,3.162149,0,8
134,31,-4.005543,0.9435941,-4.532132,0.4645376,0,-3.438398,1.234966,-4.521752,0.07330611,2.231875,0,8
150,31,-4.00053,0.9482875,-4.536335,0.5812669,0,-3.437298,1.234919,-4.521652,0.07985929,5.836463,0,8
163,31,-3.994961,0.9536927,-4.541195,0.657768,0,-3.436184,1.234769,-4.521587,0.0808625,3.825054,0,8
174,31,-3.989291,0.9589245,-4.546122,0.661042,0,-3.435479,1.234669,-4.521554,0.05145149,0.1637042,0,8
191,31,-3.982477,0.9654383,-4.552155,0.7848927,0,-3.435128,1.234605,-4.521492,0.02538761,6.192533,0,8
202,31,-3.976114,0.9717838,-4.557822,0.7743488,0,-3.433878,1.234767,-4.52134,0.09257869,-0.5271941,0,8
216,31,-3.96841,0.9799487,-4.564947,0.9506185,0,-3.431742,1.235278,-4.521012,0.1587342,8.813486,0,8
233,31,-3.960249,0.9883441,-4.572405,1.010289,0,-3.430493,1.235593,-4.520831,0.09467897,2.983505,0,8
245,31,-3.95215,0.9958216,-4.57964,0.9432744,0,-3.429321,1.235743,-4.520726,0.08486135,-3.350711,0,8
260,31,-3.943295,1.002949,-4.58767,0.989127,0,-3.428112,1.235826,-4.520647,0.08631741,2.292633,0,8
274,31,-3.933785,1.010337,-4.59625,1.068452,0,-3.427834,1.235848,-4.520576,0.02074374,3.966242,0,8
289,31,-3.924681,1.017262,-4.604486,1.011272,0,-3.427477,1.235931,-4.520473,0.02731851,-2.858973,0,8
302,31,-3.915021,1.024209,-4.61314,1.054335,0,-3.426521,1.236063,-4.520329,0.0699739,2.153122,0,8
