time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
10,32,-3.235921,0.9478036,-4.468986,0.1344787,0,-3.540628,0.9568255,-4.229627,0.04684248,6.723938,0,6
25,32,-3.236182,0.9486497,-4.470166,0.1034768,0,-3.540182,0.9572251,-4.229509,0.04276552,-1.550095,0,6
39,32,-3.236303,0.9490991,-4.470805,0.05846824,0,-3.539552,0.9577017,-4.229433,0.05873263,-2.25043,0,6
53,32,-3.236564,0.9501042,-4.471035,0.07637148,0,-3.539135,0.9579114,-4.229553,0.03457393,0.8951621,0,6
67,32,-3.237258,0.9520237,-4.471525,0.1503864,0,-3.538723,0.9581012,-4.229755,0.03565114,3.700748,0,6
79,32,-3.238451,0.9547966,-4.472057,0.2196481,0,-3.538631,0.9581414,-4.229927,0.01424566,3.463081,0,6
97,32,-3.240154,0.958227,-4.472171,0.2771995,0,-3.538612,0.9581972,-4.230067,0.01100249,2.877574,0,6
107,32,-3.241116,0.9606208,-4.472164,0.1862697,0,-3.53861,0.9582515,-4.230097,0.00447772,-4.546494,0,6
123,32,-3.242244,0.9635357,-4.471952,0.224139,0,-3.538648,0.9582751,-4.230185,0.00703702,1.893466,0,6
136,32,-3.243776,0.9667687,-4.472486,0.2616121,0,-3.53874,0.9581739,-4.23036,0.01606297,1.873654,0,6
152,32,-3.245915,0.9706761,-4.473859,0.3317038,0,-3.539033,0.9579217,-4.2307,0.03666882,3.504585,0,6
164,32,-3.247918,0.9744954,-4.475218,0.3251797,0,-3.539432,0.9575863,-4.231095,0.04698107,-0.3262043,0,6
178,32,-3.249827,0.9783704,-4.476713,0.3271036,0,-3.540073,0.9571506,-4.231657,0.06852846,0.09619743,0,6
190,32,-3.251556,0.9820458,-4.478164,0.3090868,0,-3.540871,0.9566916,-4.232258,0.07879134,-0.9008408,0,6
206,32,-3.253132,0.9856568,-4.479962,0.3115746,0,-3.54171,0.9564096,-4.232592,0.06801835,0.1243904,0,6
218,32,-3.254786,0.9891714,-4.481882,0.3131266,0,-3.542029,0.9564574,-4.232511,0.02406215,0.07760078,0,6
237,32,-3.256886,0.9937053,-4.484722,0.4121365,0,-3.543655,0.9565052,-4.232409,0.1168968,4.950494,0,6
245,32,-3.259245,0.9988282,-4.487396,0.4517865,0,-3.545137,0.9565557,-4.232236,0.1080635,1.9825,0,6
260,32,-3.26233,1.005772,-4.490834,0.5980185,0,-3.547217,0.9567302,-4.231734,0.153901,7.311602,0,6
276,32,-3.265618,1.013176,-4.494191,0.6239804,0,-3.548763,0.9569646,-4.230988,0.1232634,1.298094,0,6
291,32,-3.268975,1.020643,-4.49747,0.6445045,0,-3.550001,0.9570199,-4.230574,0.09551623,1.026204,0,6
304,32,-3.272665,1.028415,-4.500924,0.6620637,0,-3.551073,0.957019,-4.23027,0.07953662,0.8779585,0,6
317,32,-3.27755,1.037362,-4.505297,0.7920318,0,-3.551993,0.956961,-4.229988,0.06889408,6.498408,0,6
330,32,-3.282649,1.046008,-4.509842,0.779404,0,-3.552901,0.9568119,-4.229806,0.06628593,-0.631392,0,6
