time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
7,0,-1.073024,1.213755,0.4588362,0.1554323,0,-1.013646,1.378097,0.9665888,0.09636258,7.771614
20,0,-1.071899,1.213801,0.457705,0.1142836,0,-1.012742,1.377562,0.9656898,0.0990233,-2.057432
33,0,-1.070186,1.214153,0.4572472,0.1292003,0,-1.011768,1.376988,0.9647557,0.1047849,0.7458326
47,0,-1.068467,1.214709,0.4566511,0.1380396,0,-1.010808,1.376344,0.9637585,0.1108244,0.441964
61,0,-1.067386,1.215769,0.4558395,0.1211423,0,-1.00973,1.375643,0.9627826,0.1138035,-0.8448638
76,0,-1.066973,1.216436,0.4543728,0.1175957,0,-1.008591,1.374934,0.9617653,0.1190087,-0.177329
89,0,-1.066803,1.217482,0.4527084,0.14724,0,-1.00737,1.374134,0.960772,0.1317854,1.482214
103,0,-1.066492,1.218931,0.4512718,0.1500074,0,-1.006078,1.373362,0.9597546,0.1320366,0.1383685
117,0,-1.065828,1.22016,0.4500297,0.1319691,0,-1.004796,1.372558,0.9586567,0.1320088,-0.9019122
132,0,-1.064257,1.22177,0.4492149,0.1651236,0,-1.003407,1.371496,0.9574072,0.1482717,1.657723
144,0,-1.062094,1.223939,0.448295,0.2402108,0,-1.001923,1.370319,0.9561251,0.1717591,3.754364
158,0,-1.059894,1.226588,0.4469444,0.2620995,0,-1.000401,1.369109,0.9547043,0.1707154,1.094434
173,0,-1.054204,1.234495,0.4552125,0.9345189,0,-0.998952,1.367794,0.9530368,0.1880183,33.62097
186,0,-1.049644,1.234722,0.4550094,0.3288808,0,-0.997596,1.366516,0.9510787,0.1944832,-30.2819
200,0,-1.046652,1.233286,0.4544176,0.2434807,0,-0.9962667,1.365406,0.9489657,0.1972831,-4.270005
214,0,-1.044636,1.233602,0.453662,0.157259,0,-0.9950755,1.36469,0.9467617,0.188307,-4.311088
228,0,-1.057758,1.234562,0.4457958,1.077199,0,-0.994144,1.364386,0.944324,0.1846255,45.99702
242,0,-1.057365,1.2296,0.4413432,0.4821584,0,-0.9934143,1.364318,0.9418246,0.1880327,-29.75205
256,0,-1.057954,1.226492,0.4399429,0.2490391,0,-0.9927661,1.364448,0.9393842,0.1820261,-11.65597
270,0,-1.059051,1.223802,0.4386773,0.2294735,0,-0.9923478,1.364995,0.9368651,0.189106,-0.9782806
284,0,-1.060961,1.222098,0.4375954,0.1994347,0,-0.9918442,1.365313,0.9345488,0.1716618,-1.501937
298,0,-1.063168,1.222863,0.4366398,0.1808839,0,-0.9913646,1.36575,0.9324361,0.1583642,-0.9275422
312,0,-1.063572,1.222879,0.4364787,0.03138544,0,-0.9907813,1.36619,0.9306694,0.1378423,-7.474923
326,0,-1.062351,1.224453,0.4396362,0.265963,0,-0.9902002,1.366684,0.9292871,0.1124648,11.72888
340,0,-1.061917,1.226809,0.4422911,0.2585107,0,-0.9895965,1.366999,0.9279392,0.1091587,-0.3726155
354,0,-1.062132,1.229488,0.4444191,0.245344,0,-0.9889865,1.367158,0.9267656,0.09535153,-0.6583356
368,0,-1.062985,1.23118,0.444854,0.1404767,0,-0.9883301,1.367097,0.9255718,0.0985421,-5.243362
381,0,-1.064617,1.232078,0.4445199,0.1345906,0,-0.9875408,1.366371,0.9245824,0.1037489,-0.2943076
396,0,-1.066151,1.232474,0.4442801,0.1155431,0,-0.9866367,1.365308,0.9234038,0.1317147,-0.9523757
409,0,-1.0677,1.232883,0.44413,0.1154563,0,-0.9856646,1.36397,0.9222328,0.1454359,-0.004340336
423,0,-1.069499,1.232503,0.4441725,0.1317142,0,-0.9846833,1.362537,0.9211351,0.1471445,0.8128937
