time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
13,25,2.233254,2.173471,-4.303237,9.737817,0,2.013593,1.877794,-4.607169,9.512478,486.8908,0,0
44,25,2.233455,1.073374,-4.303357,9.956946,0,2.013593,0.7777936,-4.607169,9.956067,10.95648,0,0
80,25,2.233343,1.073414,-4.303454,0.007664314,0,2.013593,0.7777937,-4.607169,2.980232E-06,-497.4641,0,0
91,25,2.23328,1.073407,-4.303499,0.006623569,0,2.013593,0.7777939,-4.607169,2.024116E-05,-0.05203723,0,0
105,25,2.233136,1.07337,-4.303623,0.01424609,0,2.013593,0.7777939,-4.607169,4.382437E-06,0.3811259,0,0
119,25,2.232988,1.073261,-4.303818,0.01998513,0,2.013593,0.7777937,-4.607169,1.332265E-05,0.2869523,0,0
132,25,2.232827,1.073194,-4.303999,0.01847496,0,2.013593,0.7777936,-4.607169,4.386468E-06,-0.07550856,0,0
146,25,2.232763,1.073203,-4.304118,0.009884265,0,2.013592,0.7777936,-4.607169,1.739266E-05,-0.4295349,0,0
159,25,2.232729,1.073242,-4.304203,0.007293915,0,2.013593,0.7777936,-4.607169,1.757407E-05,-0.1295175,0,0
174,25,2.232799,1.073288,-4.304198,0.006046498,0,2.013593,0.7777938,-4.607169,8.630099E-06,-0.06237086,0,0
187,25,2.232942,1.073322,-4.30419,0.01077514,0,2.013593,0.7777937,-4.607169,4.347848E-06,0.2364322,0,0
201,25,2.233112,1.073393,-4.304121,0.01422414,0,2.013592,0.7777939,-4.607169,2.435653E-05,0.17245,0,0
215,25,2.23321,1.073369,-4.304183,0.008647611,0,2.013592,0.7777939,-4.607169,4.342368E-06,-0.2788265,0,0
228,25,2.233254,1.073298,-4.304329,0.01223425,0,2.013593,0.7777936,-4.607169,2.778448E-05,0.1793319,0,0
242,25,2.233247,1.073246,-4.304423,0.007896793,0,2.013593,0.7777937,-4.607169,8.736417E-06,-0.2168728,0,0
256,25,2.233233,1.073222,-4.304479,0.004522029,0,2.013593,0.7777938,-4.607169,4.325101E-06,-0.1687382,0,0
271,25,2.233168,1.073125,-4.304611,0.01225756,0,2.013593,0.7777937,-4.607169,4.142577E-06,0.3867767,0,0
283,25,2.233104,1.073059,-4.304717,0.01056323,0,2.013593,0.7777939,-4.607169,1.347211E-05,-0.0847166,0,0
297,25,2.233072,1.073011,-4.304793,0.006948254,0,2.013593,0.7777938,-4.607169,8.650327E-06,-0.1807489,0,0
311,25,2.233022,1.072968,-4.304883,0.008052829,0,2.013592,0.7777938,-4.607169,1.727783E-05,0.05522876,0,0
325,25,2.232914,1.07286,-4.305004,0.01403029,0,2.013593,0.7777938,-4.607169,1.723599E-05,0.2988731,0,0
339,25,2.232764,1.072753,-4.305116,0.01566936,0,2.013592,0.7777936,-4.607169,1.933108E-05,0.08195332,0,0
353,25,2.232638,1.072558,-4.305281,0.02029714,0,2.013593,0.7777937,-4.607169,1.750101E-05,0.2313891,0,0
366,25,2.232526,1.072369,-4.30547,0.02106109,0,2.013593,0.7777937,-4.607169,0,0.03819764,0,0
380,25,2.23244,1.072167,-4.305661,0.02083957,0,2.013593,0.7777938,-4.607169,4.280375E-06,-0.01107594,0,0
394,25,2.23229,1.071919,-4.305875,0.02587694,0,2.013593,0.7777936,-4.607169,8.551722E-06,0.2518685,0,0
408,25,2.232219,1.071765,-4.305967,0.01389516,0,2.013593,0.7777937,-4.607169,4.300324E-06,-0.5990893,0,0
422,25,2.232081,1.071332,-4.306301,0.04067333,0,2.013592,0.7777938,-4.607169,1.771497E-05,1.338909,0,0
436,25,2.231915,1.070976,-4.306585,0.03461743,0,2.013592,0.7777938,-4.607169,0,-0.302795,0,0
450,25,2.231761,1.070507,-4.306998,0.04629795,0,2.013592,0.7777938,-4.607169,0,0.5840259,0,0
464,25,2.231837,1.070219,-4.307236,0.02699992,0,2.013592,0.7777937,-4.607169,4.223236E-06,-0.9649013,0,0
478,25,2.231863,1.069812,-4.307515,0.03595404,0,2.013592,0.7777939,-4.607169,1.301364E-05,0.4477057,0,0
491,25,2.23192,1.069418,-4.307698,0.03129453,0,2.013593,0.7777936,-4.607169,2.406157E-05,-0.2329754,0,0
506,25,2.231841,1.068995,-4.307816,0.0320145,0,2.013593,0.7777938,-4.607169,8.554053E-06,0.03599878,0,0
519,25,2.231499,1.068357,-4.307975,0.0537197,0,2.013593,0.7777938,-4.607169,0,1.08526,0,0
534,25,2.230952,1.067565,-4.308343,0.07395159,0,2.013593,0.7777938,-4.607169,0,1.011595,0,0
548,25,2.230246,1.066675,-4.308751,0.08502872,0,2.013593,0.7777938,-4.607169,0,0.5538561,0,0
562,25,2.229254,1.065734,-4.309121,0.1011194,0,2.013592,0.7777938,-4.607169,1.702297E-05,0.8045323,0,0
576,25,2.228023,1.064573,-4.30939,0.1234524,0,2.013593,0.7777937,-4.607169,1.770361E-05,1.116652,0,0
590,25,2.226836,1.063485,-4.30926,0.1180211,0,2.013592,0.7777936,-4.607169,1.795479E-05,-0.2715662,0,0
603,25,2.225296,1.062197,-4.308964,0.1444281,0,2.013593,0.7777938,-4.607169,1.897535E-05,1.320351,0,0
617,25,2.223464,1.060934,-4.308424,0.1624746,0,2.013592,0.7777937,-4.607169,1.74383E-05,0.9023249,0,0
631,25,2.22138,1.059519,-4.307759,0.1894211,0,2.013593,0.7777938,-4.607169,1.786629E-05,1.347324,0,0
645,25,2.219105,1.05794,-4.306864,0.2098372,0,2.013592,0.7777936,-4.607169,1.921999E-05,1.020805,0,0
659,25,2.217074,1.056399,-4.306149,0.1907224,0,2.013593,0.7777939,-4.607169,2.428531E-05,-0.9557389,0,0
673,25,2.214871,1.054704,-4.305261,0.2072626,0,2.013593,0.7777938,-4.607169,8.467891E-06,0.827013,0,0
687,25,2.211666,1.05246,-4.304161,0.2919562,0,2.013593,0.7777937,-4.607169,4.281451E-06,4.234678,0,0
701,25,2.208462,1.050037,-4.303594,0.2920722,0,2.013593,0.7777939,-4.607169,1.287274E-05,0.005802512,0,0
715,25,2.204725,1.047069,-4.303045,0.3405613,0,2.013593,0.7777937,-4.607169,1.267743E-05,2.424455,0,0
729,25,2.199955,1.043578,-4.302713,0.4317225,0,2.013593,0.7777937,-4.607169,0,4.55806,0,0
742,25,2.195522,1.040321,-4.302041,0.391737,0,2.013593,0.7777938,-4.607169,4.213802E-06,-1.999277,0,0
