time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
10,29,-4.049051,1.011403,-4.50176,0.1785691,0,-3.633376,1.090776,-4.419073,0.09113105,8.928453,0,8
23,29,-4.048673,1.008684,-4.502227,0.1815325,0,-3.633781,1.089868,-4.417329,0.130862,0.1481704,0,8
40,29,-4.048082,1.005521,-4.502597,0.2549277,0,-3.634426,1.089183,-4.415346,0.172739,3.669761,0,8
50,29,-4.047586,1.002991,-4.5027,0.183972,0,-3.634874,1.088949,-4.41388,0.1105865,-3.547785,0,8
66,29,-4.04649,1.000961,-4.502535,0.1582596,0,-3.635027,1.089069,-4.411953,0.132503,-1.285622,0,8
80,29,-4.044971,0.9997787,-4.502278,0.1369613,0,-3.634924,1.089233,-4.409822,0.1509114,-1.064914,0,8
94,29,-4.044152,0.9995108,-4.501369,0.09868152,0,-3.634939,1.089378,-4.407689,0.1683328,-1.913989,0,8
664,29,-4.002379,0.9428203,-4.509026,4.571075,0,-3.668895,1.054429,-4.378096,3.679027,223.6197,0,8
678,29,-4.000544,0.9430624,-4.509411,0.1419274,0,-3.671198,1.052029,-4.377687,0.2515219,-221.4574,0,8
696,29,-3.998359,0.9435297,-4.510586,0.1767019,0,-3.673556,1.050005,-4.377022,0.2224574,1.738725,0,8
705,29,-3.995654,0.943956,-4.511947,0.2412544,0,-3.675384,1.048291,-4.376196,0.2081717,3.227626,0,8
720,29,-3.992606,0.9485942,-4.513688,0.410366,0,-3.676821,1.047079,-4.374999,0.1572077,8.45558,0,8
737,29,-3.990917,0.9543652,-4.515494,0.4509718,0,-3.677997,1.046043,-4.373558,0.1528867,2.030291,0,8
749,29,-3.990034,0.9580975,-4.517146,0.3022951,0,-3.679322,1.044675,-4.372503,0.1576728,-7.433833,0,8
762,29,-3.989792,0.9620399,-4.519177,0.3188923,0,-3.680383,1.043584,-4.371588,0.127441,0.8298591,0,8
777,29,-3.988806,0.9659598,-4.521673,0.342178,0,-3.681262,1.042794,-4.370732,0.1050806,1.164286,0,8
792,29,-3.986634,0.9705285,-4.524691,0.423222,0,-3.681883,1.042245,-4.369964,0.08126009,4.052197,0,8
802,29,-3.984282,0.9747167,-4.527579,0.4043705,0,-3.682337,1.04175,-4.369263,0.07003762,-0.9425715,0,8
818,29,-3.981603,0.9795295,-4.531124,0.465585,0,-3.682115,1.041808,-4.368815,0.0357257,3.060721,0,8
832,29,-3.978849,0.9846966,-4.535255,0.523854,0,-3.681466,1.042279,-4.368632,0.06014013,2.91345,0,8
845,29,-3.975779,0.9899154,-4.539617,0.5302064,0,-3.680773,1.042839,-4.368507,0.06395593,0.3176242,0,8
860,29,-3.971768,0.9952034,-4.544581,0.5948827,0,-3.679922,1.04371,-4.369237,0.1018927,3.233811,0,8
876,29,-3.966634,1.000682,-4.550049,0.6656179,0,-3.679249,1.044124,-4.369036,0.0584379,3.536764,0,8
886,29,-3.960972,1.006438,-4.555629,0.7087951,0,-3.678269,1.044695,-4.368961,0.08210064,2.158856,0,8
904,29,-3.953477,1.012834,-4.562198,0.8447499,0,-3.677214,1.045437,-4.369449,0.0983315,6.79774,0,8
914,29,-3.946339,1.018945,-4.568442,0.8136227,0,-3.67693,1.045686,-4.369771,0.03585154,-1.556361,0,8
932,29,-3.93556,1.026647,-4.576612,1.103378,0,-3.676454,1.046248,-4.370281,0.06349575,14.48777,0,8
944,29,-3.92529,1.034543,-4.584127,1.094874,0,-3.676005,1.04686,-4.370775,0.06616523,-0.4252195,0,8
956,29,-3.914994,1.042365,-4.591356,1.056235,0,-3.675771,1.047346,-4.371123,0.04579751,-1.931924,0,8
974,29,-3.901762,1.051167,-4.59958,1.244243,0,-3.675629,1.048124,-4.371475,0.0601769,9.400373,0,8
983,29,-3.88978,1.058924,-4.607343,1.196172,0,-3.675638,1.048578,-4.371447,0.03352459,-2.40351,0,8
1002,29,-3.877412,1.066363,-4.615571,1.204147,0,-3.675555,1.049219,-4.371274,0.04845819,0.3987432,0,8
1014,29,-3.866161,1.073458,-4.623683,1.134738,0,-3.675341,1.05002,-4.371119,0.06141048,-3.470469,0,8
1026,29,-3.854647,1.080582,-4.632018,1.13923,0,-3.67489,1.051572,-4.370709,0.1194926,0.2246141,0,8
1041,29,-3.843718,1.08734,-4.640183,1.085468,0,-3.674374,1.053303,-4.370093,0.1360889,-2.688104,0,8
1056,29,-3.833345,1.09327,-4.648542,1.045601,0,-3.673717,1.055484,-4.369078,0.1788224,-1.993334,0,8
1069,29,-3.823567,1.09869,-4.656938,1.009931,0,-3.673257,1.057046,-4.368036,0.1396503,-1.783526,0,8
1081,29,-3.81393,1.103649,-4.664917,0.9717534,0,-3.672889,1.058116,-4.367175,0.1026469,-1.908877,0,8
1095,29,-3.804774,1.107727,-4.672677,0.9092971,0,-3.672263,1.0594,-4.366082,0.1290462,-3.122816,0,8
1111,29,-3.7965,1.110635,-4.680696,0.8415743,0,-3.671201,1.060898,-4.364631,0.1657056,-3.38614,0,8
1127,29,-3.788776,1.112957,-4.689071,0.8380672,0,-3.670393,1.061489,-4.363779,0.09471996,-0.1753569,0,8
1139,29,-3.78195,1.115376,-4.697634,0.808176,0,-3.669669,1.061958,-4.363176,0.07583883,-1.494557,0,8
1152,29,-3.776066,1.117877,-4.70627,0.7682443,0,-3.668793,1.062171,-4.362925,0.06693515,-1.996589,0,8
1168,29,-3.770393,1.119981,-4.7152,0.7684209,0,-3.667767,1.06223,-4.36301,0.07347461,0.008830428,0,8
1178,29,-3.764395,1.121783,-4.724247,0.8051692,0,-3.666707,1.062363,-4.363157,0.07888187,1.837415,0,8
1196,29,-3.759772,1.120908,-4.734087,0.7698929,0,-3.665064,1.062252,-4.363793,0.1246381,-1.763815,0,8
1207,29,-3.754033,1.121678,-4.743218,0.7919568,0,-3.663656,1.062524,-4.363852,0.1050626,1.103196,0,8
1222,29,-3.749704,1.120343,-4.75282,0.7501101,0,-3.661667,1.062759,-4.364,0.1419351,-2.092335,0,8
