time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration,
16,10,-0.7763964,2.085263,-4.407269,3.032215,0,-0.6600835,1.883591,-4.801624,3.09349,151.6108,0,0
63,10,-0.7766868,0.9864818,-4.406925,3.296344,0,-0.6600835,0.7835914,-4.801624,3.3,13.20642,0,0
80,10,-0.7773192,0.9871514,-4.406787,0.04656204,0,-0.6600835,0.7835914,-4.801624,0,-162.4891,0,0
92,10,-0.7776138,0.9874011,-4.406765,0.02955372,0,-0.6600835,0.7835914,-4.801624,0,-0.8504158,0,0
106,10,-0.7778525,0.9876415,-4.406723,0.0258246,0,-0.6600834,0.7835914,-4.801624,6.37608E-06,-0.1864562,0,0
119,10,-0.7781655,0.9879047,-4.406683,0.03128334,0,-0.6600836,0.7835914,-4.801624,1.361655E-05,0.2729369,0,0
132,10,-0.7786809,0.98825,-4.40665,0.0455831,0,-0.6600835,0.7835914,-4.801624,6.184197E-06,0.7149881,0,0
147,10,-0.7789803,0.9885632,-4.406528,0.03268383,0,-0.6600835,0.7835915,-4.801624,4.328807E-06,-0.6449636,0,0
160,10,-0.7790805,0.9888124,-4.406388,0.02170573,0,-0.6600836,0.7835916,-4.801624,9.548306E-06,-0.5489049,0,0
173,10,-0.7791761,0.9890366,-4.406285,0.01965678,0,-0.6600838,0.7835916,-4.801624,1.400616E-05,-0.1024475,0,0
188,10,-0.7795495,0.9894668,-4.406154,0.04180041,0,-0.6600837,0.7835915,-4.801624,9.529055E-06,1.107182,0,0
201,10,-0.7799911,0.989844,-4.406073,0.04430145,0,-0.6600835,0.7835914,-4.801624,1.006845E-05,0.1250522,0,0
215,10,-0.7809922,0.9904326,-4.405888,0.0858356,0,-0.6600835,0.7835915,-4.801624,4.351149E-06,2.076707,0,0
228,10,-0.782128,0.9909858,-4.40558,0.09438659,0,-0.6600835,0.7835914,-4.801624,6.118081E-06,0.4275497,0,0
242,10,-0.7830506,0.9913544,-4.405252,0.07520098,0,-0.6600835,0.7835915,-4.801624,4.283635E-06,-0.9592806,0,0
256,10,-0.7838564,0.9915824,-4.405159,0.06157678,0,-0.6600835,0.7835914,-4.801624,6.161099E-06,-0.6812102,0,0
270,10,-0.7848831,0.991735,-4.405212,0.07371242,0,-0.6600835,0.7835914,-4.801624,0,0.6067818,0,0
284,10,-0.7860299,0.9919536,-4.405229,0.08510019,0,-0.6600835,0.7835914,-4.801624,0,0.5693886,0,0
298,10,-0.787235,0.9920375,-4.405294,0.0866527,0,-0.6600835,0.7835915,-4.801624,6.037884E-06,0.07762574,0,0
311,10,-0.7890046,0.9919277,-4.405413,0.1310696,0,-0.6600836,0.7835913,-4.801624,1.966145E-05,2.220845,0,0
325,10,-0.7907596,0.9919358,-4.405419,0.1248056,0,-0.6600835,0.7835914,-4.801624,1.528275E-05,-0.3132001,0,0
